,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,ClinVar_2019,glycogen storage disease,1/17,0.0185435492893687,0.0185435492893687,0,0,59.410714285714285,236.908142520545,ALDOA
1,GO_Biological_Process_2023,Regulation Of Peptidase Activity (GO:0052547),3/27,3.3213166651514407e-06,0.0008203652162924058,0,0,131.27631578947367,1656.0703190066345,ECM1;CTSL;CTSK
2,GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),3/78,8.330355152443848e-05,0.0080391091473667,0,0,41.90105263157895,393.5773991742032,CTSL;CTSK;CTSF
3,GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),2/17,0.00015551887733367725,0.0080391091473667,0,0,133.08666666666667,1167.0028347616174,TNXB;PXDN
4,GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),3/102,0.000184826433899062,0.0080391091473667,0,0,31.704944178628388,272.53866039961144,CTSL;CTSK;CTSF
5,GO_Biological_Process_2023,Positive Regulation Of Signal Transduction (GO:0009967),4/266,0.0001852708390500856,0.0080391091473667,0,0,16.72264631043257,143.70926861635257,TNXB;LAMA1;CTSL;CTSK
6,GO_Biological_Process_2023,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746),2/19,0.00019528200357975847,0.0080391091473667,0,0,117.41764705882352,1002.8718580525142,TNXB;DCN
7,GO_Biological_Process_2023,Negative Regulation Of Ossification (GO:0030279),2/24,0.000314144742212557,0.0088322602884715,0,0,90.7090909090909,731.6283882755846,ECM1;DKK1
8,GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),2/25,0.000341234455643778,0.0088322602884715,0,0,86.76086956521739,692.6068823488023,CTSL;CTSK
9,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),4/316,0.0003571931701598446,0.0088322602884715,0,0,14.007122507122508,111.177806619415,TNXB;PXDN;LTBP2;ALDOA
10,GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),2/26,0.0003694246681570649,0.0088322602884715,0,0,83.14166666666667,657.1154597419012,CTSL;CTSF
11,GO_Biological_Process_2023,Proteolysis (GO:0006508),4/330,0.0004208902120768414,0.0088322602884715,0,0,13.396046353101568,104.1293241534849,CTSA;CTSL;CTSK;CTSF
12,GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),2/28,0.00042909766583667375,0.0088322602884715,0,0,76.73846153846154,595.0166787107836,CTSL;CTSF
13,GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),3/144,0.0005091466528586429,0.0092943490478996,0,0,22.21388577827548,168.4428858112168,TNXB;LAMA1;TNC
14,GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),2/31,0.0005268052091926898,0.0092943490478996,0,0,68.78965517241379,519.2710735545378,CTSL;CTSF
15,GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Migration (GO:0010633),2/33,0.0005973830443360625,0.0098369074634004,0,0,64.34516129032258,477.6310459433993,APOH;DCN
16,GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Migration (GO:0010596),2/37,0.0007515138680371676,0.0109190544355988,0,0,56.98,409.88112260467307,APOH;DCN
17,GO_Biological_Process_2023,Regulation Of Ossification (GO:0030278),2/37,0.0007515138680371676,0.0109190544355988,0,0,56.98,409.88112260467307,ECM1;DKK1
18,GO_Biological_Process_2023,Zymogen Activation (GO:0031638),2/45,0.0011111839587462,0.0144453914637015,0,0,46.36046511627907,315.3591457066678,CTSL;APOH
