"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-let-7a-5p","NKIRAS2","Functional MTI","MIRT000463","ELISA, qRT-PCR, Luciferase reporter assay, Western blot","20351193"
"hsa-let-7a-5p","CDK6","Functional MTI (Weak)","MIRT000415","CLASH","23622248"
"hsa-let-7a-5p","CDK6","Functional MTI","MIRT000415","Luciferase reporter assay, Western blot,","24383407"
"hsa-let-7a-5p","MYC","Functional MTI","MIRT000417","Western blot","20033209"
"hsa-let-7a-5p","MYC","Functional MTI (Weak)","MIRT000417","qRT-PCR","17942906"
"hsa-let-7a-5p","MYC","Functional MTI","MIRT000417","qRT-PCR, Western blot","16651716"
"hsa-let-7a-5p","MYC","Functional MTI (Weak)","MIRT000417","TRAP","24510096"
"hsa-let-7a-5p","BCL2","Functional MTI (Weak)","MIRT000418","Microarray, qRT-PCR","17260024"
"hsa-let-7a-5p","ITGB3","Functional MTI","MIRT000708","qRT-PCR, Luciferase reporter assay, Western blot","18679415"
"hsa-let-7a-5p","NF2","Functional MTI","MIRT001853","Luciferase reporter assay, Microarray, qRT-PCR, Western blot, Reporter assay;Other","17220301"
"hsa-let-7a-5p","NRAS","Functional MTI","MIRT001854","Western blot","19110058"
"hsa-let-7a-5p","NRAS","Functional MTI","MIRT001854","Luciferase reporter assay, Microarray","15766527"
"hsa-let-7a-5p","KRAS","Functional MTI","MIRT001855","Luciferase reporter assay, Microarray","15766527"
"hsa-let-7a-5p","KRAS","Functional MTI","MIRT001855","Western blot","20033209"
"hsa-let-7a-5p","KRAS","Functional MTI","MIRT001855","qRT-PCR, Western blot","16651716"
"hsa-let-7a-5p","KRAS","Functional MTI","MIRT001855","Immunohistochemistry, Luciferase reporter assay, qRT-PCR, Western blot","25955298"
"hsa-let-7a-5p","PRDM1","Functional MTI","MIRT001936","Luciferase reporter assay","18583325"
"hsa-let-7a-5p","PRDM1","Functional MTI","MIRT001936","Immunohistochemistry, Luciferase reporter assay, qRT-PCR, Western blot","20651244"
"hsa-let-7a-5p","TRIM71","Functional MTI","MIRT002077","Luciferase reporter assay, Reporter assay","17890240"
"hsa-let-7a-5p","TRIM71","Functional MTI","MIRT002077","Luciferase reporter assay","18829576"
"hsa-let-7a-5p","TRIM71","Functional MTI (Weak)","MIRT002077","Immunoblot, Northern blot","15722555"
"hsa-let-7a-5p","TRIM71","Functional MTI (Weak)","MIRT002077","PAR-CLIP","20371350"
"hsa-let-7a-5p","RAVER2","Functional MTI","MIRT002305","Immunoprecipitaion, Luciferase reporter assay, Western blot","17637574"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","qRT-PCR, Western blot, Luciferase reporter assay","17600087"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Luciferase reporter assay","18083101"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Luciferase reporter assay","17322030"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Luciferase reporter assay","18413822"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Luciferase reporter assay, Western blot, qRT-PCR","19179606"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Luciferase reporter assay, qRT-PCR, Western blot","22139073"
"hsa-let-7a-5p","HMGA2","Functional MTI (Weak)","MIRT002323","CLASH","23622248"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Immunofluorescence, Immunohistochemistry, Luciferase reporter assay, qRT-PCR, Western blot","24617339"
"hsa-let-7a-5p","HMGA2","Functional MTI (Weak)","MIRT002323","PAR-CLIP","20371350"
"hsa-let-7a-5p","HMGA2","Functional MTI (Weak)","MIRT002323","HITS-CLIP","21572407"
"hsa-let-7a-5p","HMGA2","Functional MTI (Weak)","MIRT002323","Immunohistochemistry, qRT-PCR","26428358"
"hsa-let-7a-5p","HMGA2","Functional MTI","MIRT002323","Luciferase reporter assay, qRT-PCR, Western blot","25884389"
"hsa-let-7a-5p","HMGA2","Functional MTI (Weak)","MIRT002323","PAR-CLIP","26701625"
"hsa-let-7a-5p","HMGA1","Functional MTI","MIRT003152","Luciferase reporter assay, qRT-PCR","19179606"
"hsa-let-7a-5p","HMGA1","Functional MTI","MIRT003152","Luciferase reporter assay, qRT-PCR, Western blot","22139073"
"hsa-let-7a-5p","HMGA1","Functional MTI (Weak)","MIRT003152","CLASH","23622248"
"hsa-let-7a-5p","HMGA1","Functional MTI (Weak)","MIRT003152","PAR-CLIP","23592263"
"hsa-let-7a-5p","HMGA1","Functional MTI (Weak)","MIRT003152","HITS-CLIP","23313552"
"hsa-let-7a-5p","HMGA1","Functional MTI","MIRT003152","qRT-PCR, Western blot","25846193"
"hsa-let-7a-5p","AGO4","Functional MTI","MIRT003522","Luciferase reporter assay","20144220"
"hsa-let-7a-5p","UHRF2","Functional MTI","MIRT004321","qRT-PCR, Western blot, Luciferase reporter assay","19818775"
"hsa-let-7a-5p","DICER1","Functional MTI","MIRT004346","Luciferase reporter assay, Western blot, Northern blot","18700235"
"hsa-let-7a-5p","DICER1","Functional MTI (Weak)","MIRT004346","CLASH","23622248"
"hsa-let-7a-5p","HRAS","Functional MTI","MIRT004471","Luciferase reporter assay","18083101"
"hsa-let-7a-5p","HRAS","Functional MTI","MIRT004471","Immunoblot, qRT-PCR, Western blot","21252116"
"hsa-let-7a-5p","HRAS","Functional MTI","MIRT004471","Luciferase reporter assay","24092860"
"hsa-let-7a-5p","IGF2","Functional MTI","MIRT004520","Luciferase reporter assay","17974952"
"hsa-let-7a-5p","LIN28A","Functional MTI","MIRT004801","B-globin reporter assay, Luciferase reporter assay, Microarray","16495412"
"hsa-let-7a-5p","LIN28A","Functional MTI (Weak)","MIRT004801","Immunoblot, Northern blot","15722555"
"hsa-let-7a-5p","NFKB1","Functional MTI (Weak)","MIRT004830","Microarray, qRT-PCR","17260024"
"hsa-let-7a-5p","ZFP36L1","Functional MTI (Weak)","MIRT004957","qRT-PCR","17942906"
"hsa-let-7a-5p","THBS1","Functional MTI (Weak)","MIRT004958","qRT-PCR","17942906"
"hsa-let-7a-5p","THBS1","Functional MTI (Weak)","MIRT004958","PAR-CLIP","24398324"
"hsa-let-7a-5p","TUSC2","Functional MTI (Weak)","MIRT004959","qRT-PCR","17942906"
