"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-let-7a-5p","MOB4","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ABHD17C","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ABL2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ACVR1B","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ACVR1C","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ACVR2A","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ACVR2B","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ADAMTS15","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ADAMTS5","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ADAMTS8","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ADRB1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ADRB2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ADRB3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","AGO1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","AGO3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","AGO4","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","AIFM1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","AKAP6","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","AMMECR1L","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ANKRD52","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","APBB3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ARHGAP28","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ARID3B","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ARL5A","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ARMC8","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ARPP19","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ASAP1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ATP2A2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ATP2B1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","ATP2B4","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BACH1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BBX","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BCAP29","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BEND4","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BRD3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BRWD1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BRWD3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BTBD3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BTBD9","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","BZW1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","C14orf28","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","C16orf52","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","C20orf194","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CALU","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CBL","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CBX5","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CCND1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CCND2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CCNJ","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CCNY","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CDC34","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CDV3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CELF1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CEP85L","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CHD4","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CHD7","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CHD9","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CHIC1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CLCN5","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CNOT2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CNOT6L","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL15A1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL1A2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL24A1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL3A1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL4A1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL4A2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL4A3BP","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","COL5A2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CPEB1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CPEB2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CPEB3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CPEB4","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","CTDSPL2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DCUN1D3","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DDI2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DDX19A","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DDX19B","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DICER1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DLC1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DMD","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DOT1L","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DST","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DTX2","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DUSP1","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DUSP16","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DYRK1A","V","ElMMo3","N/A","N/A"
"hsa-let-7a-5p","DYRK2","V","ElMMo3","N/A","N/A"
