"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-miR-122-5p","CYP7A1","Functional MTI","MIRT000012","qRT-PCR, Luciferase reporter assay","20351063"
"hsa-miR-122-5p","IGF1R","Functional MTI","MIRT000364","Luciferase reporter assay, qRT-PCR, Western blot","19726678"
"hsa-miR-122-5p","IGF1R","Functional MTI","MIRT000364","Luciferase reporter assay, qRT-PCR, Western blot","23056576"
"hsa-miR-122-5p","IGF1R","Functional MTI","MIRT000364","Reporter assay;qRT-PCR","20884628"
"hsa-miR-122-5p","SRF","Functional MTI","MIRT000365","Luciferase reporter assay, qRT-PCR, Western blot","19726678"
"hsa-miR-122-5p","RAC1","Functional MTI","MIRT000663","Luciferase reporter assay,","19935707"
"hsa-miR-122-5p","RAC1","Functional MTI","MIRT000663","Microarray, qRT-PCR, Western blot","26540468"
"hsa-miR-122-5p","RHOA","Functional MTI","MIRT000717","Luciferase reporter assay","19617899"
"hsa-miR-122-5p","RHOA","Functional MTI","MIRT000717","Luciferase reporter assay,","19935707"
"hsa-miR-122-5p","CCNG1","Functional MTI","MIRT003006","Reporter assay","17616664"
"hsa-miR-122-5p","CCNG1","Functional MTI","MIRT003006","Western blot","19584283"
"hsa-miR-122-5p","CCNG1","Functional MTI (Weak)","MIRT003006","qRT-PCR","23126531"
"hsa-miR-122-5p","CCNG1","Functional MTI","MIRT003006","Reporter assay;Western blot","18692484"
"hsa-miR-122-5p","CCNG1","Functional MTI","MIRT003006","qRT-PCR, Western blot","27528885"
"hsa-miR-122-5p","GTF2B","Functional MTI (Weak)","MIRT003079","qRT-PCR","18073344"
"hsa-miR-122-5p","GYS1","Functional MTI","MIRT003080","qRT-PCR, Western blot, Northern blot","18073344"
"hsa-miR-122-5p","GYS1","Functional MTI (Weak)","MIRT003080","Microarray","17612493"
"hsa-miR-122-5p","ANK2","Functional MTI","MIRT003081","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","NFATC2IP","Functional MTI","MIRT003082","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","ENTPD4","Functional MTI","MIRT003083","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","ANXA11","Functional MTI","MIRT003084","Luciferase reporter assay, qRT-PCR, Microarray","19296470"
"hsa-miR-122-5p","ALDOA","Functional MTI","MIRT003085","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","ALDOA","Functional MTI (Weak)","MIRT003085","Northern blot","18073344"
"hsa-miR-122-5p","ADAM17","Functional MTI","MIRT003112","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","ADAM17","Functional MTI (Weak)","MIRT003112","qRT-PCR","19726678"
"hsa-miR-122-5p","ADAM17","Functional MTI","MIRT003112","Luciferase reporter assay,","19935707"
"hsa-miR-122-5p","RAB6B","Functional MTI","MIRT003086","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","RAB11FIP1","Functional MTI","MIRT003087","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","RAB11FIP1","Functional MTI (Weak)","MIRT003087","HITS-CLIP","23824327"
"hsa-miR-122-5p","FOXP1","Functional MTI","MIRT003088","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","MECP2","Functional MTI","MIRT003089","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","NCAM1","Functional MTI","MIRT003090","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","NCAM1","Functional MTI (Weak)","MIRT003090","Microarray","17179747"
"hsa-miR-122-5p","NCAM1","Functional MTI (Weak)","MIRT003090","Microarray","17612493"
"hsa-miR-122-5p","UBAP2","Functional MTI","MIRT003091","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","TBX19","Functional MTI","MIRT003092","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","AACS","Functional MTI","MIRT003093","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","DUSP2","Functional MTI","MIRT003094","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","ATP1A2","Functional MTI","MIRT003095","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","MAPK11","Functional MTI","MIRT003097","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","FUNDC2","Functional MTI","MIRT003098","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","AKT3","Functional MTI","MIRT003099","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","AKT3","Functional MTI","MIRT003099","Immunoblot, Luciferase reporter assay, qRT-PCR","24244539"
"hsa-miR-122-5p","TPD52L2","Functional MTI","MIRT003100","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","TPD52L2","Functional MTI (Weak)","MIRT003100","Microarray","18073344"
"hsa-miR-122-5p","GALNT10","Functional MTI","MIRT003102","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","GALNT10","Functional MTI","MIRT003102","Immunohistochemistry, In situ hybridization, qRT-PCR, Luciferase reporter assay, Immunoprecipitaion, Western blot","25422324"
"hsa-miR-122-5p","G6PC3","Functional MTI","MIRT003103","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","G6PC3","Functional MTI (Weak)","MIRT003103","Microarray","17612493"
"hsa-miR-122-5p","AP3M2","Functional MTI","MIRT003104","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","SLC7A1","Functional MTI","MIRT003105","Luciferase reporter assay, Western blot, Reporter assay;Other","17179747"
"hsa-miR-122-5p","SLC7A1","Functional MTI","MIRT003105","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","SLC7A1","Functional MTI (Weak)","MIRT003105","Northern blot","18073344"
"hsa-miR-122-5p","SLC7A1","Functional MTI","MIRT003105","Luciferase reporter assay","16777601"
"hsa-miR-122-5p","XPO6","Functional MTI","MIRT003106","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","FOXJ3","Functional MTI","MIRT003107","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","SLC7A11","Functional MTI","MIRT003108","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","TRIB1","Functional MTI","MIRT003109","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","EGLN3","Functional MTI","MIRT003110","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","NUMBL","Functional MTI","MIRT003111","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","DSTYK","Functional MTI","MIRT003727","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","FAM117B","Functional MTI","MIRT003728","Luciferase reporter assay, qRT-PCR","19296470"
"hsa-miR-122-5p","BCL2L2","Functional MTI","MIRT004364","Luciferase reporter assay, qRT-PCR, Western blot, Reporter assay;Western blot;Other","18692484"
"hsa-miR-122-5p","BCL2L2","Functional MTI (Weak)","MIRT004364","qRT-PCR","24121065"
"hsa-miR-122-5p","BCL2L2","Functional MTI","MIRT004364","Immunohistochemistry, Luciferase reporter assay, Microarray, qRT-PCR, Western blot","27415790"
"hsa-miR-122-5p","PRKAB1","Functional MTI","MIRT004527","Luciferase reporter assay","16459310"
"hsa-miR-122-5p","ADAM10","Functional MTI","MIRT004879","Luciferase reporter assay, qRT-PCR, Western blot","19726678"
"hsa-miR-122-5p","ADAM10","Functional MTI","MIRT004879","Immunohistochemistry, Luciferase reporter assay, qRT-PCR","25318895"
"hsa-miR-122-5p","PRKRA","Functional MTI","MIRT006123","Luciferase reporter assay, Microarray, qRT-PCR, Western blot","21937511"
"hsa-miR-122-5p","WNT1","Functional MTI","MIRT006421","Luciferase reporter assay, qRT-PCR, Western blot","22276989"
"hsa-miR-122-5p","WNT1","Functional MTI","MIRT006421","Luciferase reporter assay, qRT-PCR","27687586"
"hsa-miR-122-5p","PTPN1","Functional MTI","MIRT007007","Luciferase reporter assay","22807119"
"hsa-miR-122-5p","NT5C3A","Functional MTI","MIRT007081","Luciferase reporter assay","23055569"
"hsa-miR-122-5p","P4HA1","Functional MTI","MIRT007082","Luciferase reporter assay","23178710"
"hsa-miR-122-5p","ZNF395","Functional MTI","MIRT007083","GFP reporter assay","23221562"
"hsa-miR-122-5p","SOCS1","Functional MTI","MIRT007084","GFP reporter assay","23348614"
