"miRNA","Target / Target pathway","Support","Source","Experiment(s)","Reference - PMID"
"hsa-miR-122-5p","PKNOX1","Functional MTI (Weak)","MIRT570046","PAR-CLIP","20371350"
"hsa-miR-122-5p","PRSS16","Functional MTI (Weak)","MIRT570257","PAR-CLIP","20371350"
"hsa-miR-122-5p","HM13","Functional MTI (Weak)","MIRT571143","PAR-CLIP","20371350"
"hsa-miR-122-5p","POM121L7P","Functional MTI (Weak)","MIRT607065","HITS-CLIP","24906430"
"hsa-miR-122-5p","HEBP2","Functional MTI (Weak)","MIRT607490","HITS-CLIP","24906430"
"hsa-miR-122-5p","ABL2","Functional MTI (Weak)","MIRT607522","HITS-CLIP","24906430"
"hsa-miR-122-5p","BTN3A2","Functional MTI (Weak)","MIRT607655","HITS-CLIP","24906430"
"hsa-miR-122-5p","RHBDL2","Functional MTI (Weak)","MIRT607795","HITS-CLIP","24906430"
"hsa-miR-122-5p","PHLDA3","Functional MTI (Weak)","MIRT607842","HITS-CLIP","24906430"
"hsa-miR-122-5p","ANG","Functional MTI (Weak)","MIRT607927","HITS-CLIP","24906430"
"hsa-miR-122-5p","SNX22","Functional MTI (Weak)","MIRT607966","HITS-CLIP","24906430"
"hsa-miR-122-5p","ZFP14","Functional MTI (Weak)","MIRT608074","HITS-CLIP","24906430"
"hsa-miR-122-5p","ZFP14","Functional MTI (Weak)","MIRT608074","HITS-CLIP","27418678"
"hsa-miR-122-5p","SYAP1","Functional MTI (Weak)","MIRT608141","HITS-CLIP","24906430"
"hsa-miR-122-5p","RABL3","Functional MTI (Weak)","MIRT612620","HITS-CLIP","23824327"
"hsa-miR-122-5p","CCS","Functional MTI (Weak)","MIRT617444","HITS-CLIP","23824327"
"hsa-miR-122-5p","HLA-E","Functional MTI (Weak)","MIRT618772","HITS-CLIP","23824327"
"hsa-miR-122-5p","MTO1","Functional MTI (Weak)","MIRT617552","HITS-CLIP","23824327"
"hsa-miR-122-5p","METTL27","Functional MTI (Weak)","MIRT620570","HITS-CLIP","23824327"
"hsa-miR-122-5p","MEAF6","Functional MTI (Weak)","MIRT618926","HITS-CLIP","23824327"
"hsa-miR-122-5p","TIAL1","Functional MTI (Weak)","MIRT619247","HITS-CLIP","23824327"
"hsa-miR-122-5p","YME1L1","Functional MTI (Weak)","MIRT620091","HITS-CLIP","23824327"
"hsa-miR-122-5p","XKR6","Functional MTI (Weak)","MIRT620483","HITS-CLIP","23824327"
"hsa-miR-122-5p","METTL27","Functional MTI (Weak)","MIRT620570","HITS-CLIP","19536157"
"hsa-miR-122-5p","ORAI2","Functional MTI (Weak)","MIRT622977","HITS-CLIP","23824327"
"hsa-miR-122-5p","ORAI2","Functional MTI (Weak)","MIRT622977","PAR-CLIP","27292025"
"hsa-miR-122-5p","NAA50","Functional MTI (Weak)","MIRT623169","HITS-CLIP","23824327"
"hsa-miR-122-5p","OPTN","Functional MTI (Weak)","MIRT625694","HITS-CLIP","23824327"
"hsa-miR-122-5p","AGAP9","Functional MTI (Weak)","MIRT625268","HITS-CLIP","23824327"
"hsa-miR-122-5p","DGKE","Functional MTI (Weak)","MIRT624165","HITS-CLIP","23824327"
"hsa-miR-122-5p","AKR7L","Functional MTI (Weak)","MIRT625396","HITS-CLIP","23824327"
"hsa-miR-122-5p","AKR7L","Functional MTI (Weak)","MIRT625396","PAR-CLIP","27292025"
"hsa-miR-122-5p","SF3A1","Functional MTI (Weak)","MIRT627077","HITS-CLIP","23824327"
"hsa-miR-122-5p","MKLN1","Functional MTI (Weak)","MIRT626093","HITS-CLIP","23824327"
"hsa-miR-122-5p","CHDH","Functional MTI (Weak)","MIRT626431","HITS-CLIP","23824327"
"hsa-miR-122-5p","FIG4","Functional MTI (Weak)","MIRT627013","HITS-CLIP","23824327"
"hsa-miR-122-5p","SF3A1","Functional MTI (Weak)","MIRT627077","HITS-CLIP","27418678"
"hsa-miR-122-5p","HS3ST1","Functional MTI (Weak)","MIRT627140","HITS-CLIP","23824327"
"hsa-miR-122-5p","TSHZ2","Functional MTI (Weak)","MIRT627347","HITS-CLIP","23824327"
"hsa-miR-122-5p","THAP2","Functional MTI (Weak)","MIRT627420","HITS-CLIP","23824327"
"hsa-miR-122-5p","TAS2R5","Functional MTI (Weak)","MIRT627441","HITS-CLIP","23824327"
"hsa-miR-122-5p","TAS2R5","Functional MTI (Weak)","MIRT627441","PAR-CLIP","27292025"
"hsa-miR-122-5p","KAT7","Functional MTI (Weak)","MIRT628078","HITS-CLIP","23824327"
