miRNA,Target / Target pathway,Support,Source,Experiment(s),Reference - PMID,,
hsa-miR-122-5p,TNRC6A,Functional MTI (Weak),MIRT074336,PAR-CLIP,23446348,,
hsa-miR-122-5p,VMA21,Functional MTI (Weak),MIRT109185,PAR-CLIP,21572407,,
hsa-miR-122-5p,VMA21,Functional MTI (Weak),MIRT109185,PAR-CLIP,20371350,,
hsa-miR-122-5p,MEF2D,Functional MTI,MIRT438005,Luciferase reporter assay,24390737,,
hsa-miR-122-5p,MEF2D,Functional MTI,MIRT438005,Luciferase reporter assay,27109478,,
hsa-miR-122-5p,NOD2,Functional MTI,MIRT438655,"Luciferase reporter assay, qRT-PCR, Western blot",23872065,,
hsa-miR-122-5p,EFTUD2,Functional MTI (Weak),MIRT453274,PAR-CLIP,23592263,,
hsa-miR-122-5p,OLR1,Functional MTI (Weak),MIRT451716,PAR-CLIP,23592263,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,PAR-CLIP,23592263,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,PAR-CLIP,24398324,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,PAR-CLIP,23446348,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,"PAR-CLIP, HITS-CLIP",21572407,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,PAR-CLIP,20371350,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,HITS-CLIP,23824327,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,HITS-CLIP,23706177,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,PAR-CLIP,26701625,,
hsa-miR-122-5p,OSBPL10,Functional MTI (Weak),MIRT454232,PAR-CLIP,27292025,,
hsa-miR-122-5p,ZSWIM1,Functional MTI (Weak),MIRT455826,PAR-CLIP,23592263,,
hsa-miR-122-5p,ZSWIM1,Functional MTI (Weak),MIRT455826,HITS-CLIP,27418678,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,PAR-CLIP,23592263,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,PAR-CLIP,24398324,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,PAR-CLIP,23446348,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,"PAR-CLIP, HITS-CLIP",21572407,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,PAR-CLIP,20371350,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,HITS-CLIP,23824327,,
hsa-miR-122-5p,PIGO,Functional MTI (Weak),MIRT459903,PAR-CLIP,27292025,,
hsa-miR-122-5p,WSB1,Functional MTI (Weak),MIRT463834,PAR-CLIP,23592263,,
hsa-miR-122-5p,RAD21,Functional MTI (Weak),MIRT469637,PAR-CLIP,23592263,,
hsa-miR-122-5p,REL,Functional MTI (Weak),MIRT469456,PAR-CLIP,23592263,,
hsa-miR-122-5p,REL,Functional MTI (Weak),MIRT469456,PAR-CLIP,23446348,,
hsa-miR-122-5p,REL,Functional MTI (Weak),MIRT469456,PAR-CLIP,21572407,,
hsa-miR-122-5p,RAD21,Functional MTI (Weak),MIRT469637,PAR-CLIP,23446348,,
hsa-miR-122-5p,RAD21,Functional MTI (Weak),MIRT469637,PAR-CLIP,20371350,,
hsa-miR-122-5p,MDM4,Functional MTI (Weak),MIRT473432,PAR-CLIP,23592263,,
hsa-miR-122-5p,MAFK,Functional MTI (Weak),MIRT473872,PAR-CLIP,23592263,,
hsa-miR-122-5p,MAFK,Functional MTI (Weak),MIRT473872,PAR-CLIP,24398324,,
hsa-miR-122-5p,MAFK,Functional MTI (Weak),MIRT473872,PAR-CLIP,20371350,,
hsa-miR-122-5p,MAFK,Functional MTI (Weak),MIRT473872,PAR-CLIP,26701625,,
hsa-miR-122-5p,FBXO21,Functional MTI (Weak),MIRT476893,PAR-CLIP,23592263,,
hsa-miR-122-5p,LRP3,Functional MTI (Weak),MIRT491164,PAR-CLIP,23592263,,
hsa-miR-122-5p,PRMT3,Functional MTI (Weak),MIRT497662,PAR-CLIP,22291592,,
hsa-miR-122-5p,ABCF2,Functional MTI (Weak),MIRT500014,PAR-CLIP,24398324,,
hsa-miR-122-5p,UTP4,Functional MTI (Weak),MIRT499759,PAR-CLIP,24398324,,
hsa-miR-122-5p,UTP4,Functional MTI (Weak),MIRT499759,PAR-CLIP,23446348,,
hsa-miR-122-5p,UTP4,Functional MTI (Weak),MIRT499759,PAR-CLIP,22012620,,
hsa-miR-122-5p,UTP4,Functional MTI (Weak),MIRT499759,"PAR-CLIP, HITS-CLIP",21572407,,
hsa-miR-122-5p,UTP4,Functional MTI (Weak),MIRT499759,PAR-CLIP,20371350,,
hsa-miR-122-5p,ABCF2,Functional MTI (Weak),MIRT500014,PAR-CLIP,23446348,,
hsa-miR-122-5p,ABCF2,Functional MTI (Weak),MIRT500014,"PAR-CLIP, HITS-CLIP",21572407,,
hsa-miR-122-5p,ABCF2,Functional MTI (Weak),MIRT500014,PAR-CLIP,20371350,,
hsa-miR-122-5p,ABCF2,Functional MTI (Weak),MIRT500014,PAR-CLIP,26701625,,
hsa-miR-122-5p,SLC7A5,Functional MTI (Weak),MIRT501090,PAR-CLIP,24398324,,
hsa-miR-122-5p,SLC7A5,Functional MTI (Weak),MIRT501090,PAR-CLIP,22012620,,
hsa-miR-122-5p,SLC7A5,Functional MTI (Weak),MIRT501090,PAR-CLIP,26701625,,
hsa-miR-122-5p,SLC2A3,Functional MTI (Weak),MIRT510320,PAR-CLIP,23446348,,
hsa-miR-122-5p,SLC2A3,Functional MTI (Weak),MIRT510320,PAR-CLIP,21572407,,
hsa-miR-122-5p,COPA,Functional MTI (Weak),MIRT516410,PAR-CLIP,23446348,,
hsa-miR-122-5p,NCAPD2,Functional MTI (Weak),MIRT517861,PAR-CLIP,23446348,,
hsa-miR-122-5p,NCAPD2,Functional MTI (Weak),MIRT517861,PAR-CLIP,21572407,,
hsa-miR-122-5p,FBXO27,Functional MTI (Weak),MIRT523764,PAR-CLIP,23446348,,
hsa-miR-122-5p,FBXO27,Functional MTI (Weak),MIRT523764,PAR-CLIP,22012620,,
hsa-miR-122-5p,BIRC5,Functional MTI (Weak),MIRT524753,PAR-CLIP,23446348,,
hsa-miR-122-5p,CDK19,Functional MTI (Weak),MIRT524517,PAR-CLIP,23446348,,
hsa-miR-122-5p,BIRC5,Functional MTI (Weak),MIRT524753,PAR-CLIP,21572407,,
hsa-miR-122-5p,BIRC5,Functional MTI (Weak),MIRT524753,PAR-CLIP,20371350,,
hsa-miR-122-5p,SLC4A1,Functional MTI (Weak),MIRT531913,PAR-CLIP,22012620,,
hsa-miR-122-5p,PATZ1,Functional MTI (Weak),MIRT532678,PAR-CLIP,22012620,,
hsa-miR-122-5p,YIPF4,Functional MTI (Weak),MIRT533115,PAR-CLIP,22012620,,
hsa-miR-122-5p,YIPF4,Functional MTI (Weak),MIRT533115,HITS-CLIP,23824327,,
hsa-miR-122-5p,HSPA4L,Functional MTI (Weak),MIRT536742,PAR-CLIP,22012620,,
