"","GLU4-2D-2_S20-UMIs","GLU4-2D-3_S23-UMIs","GLU4-2D-4_S24-UMIs","GLU4-3D-1_S27-UMIs","GLU4-3D-2_S28-UMIs","GLU4-3D-3_S31-UMIs","GLU4-3D-4_S32-UMIs","WT-3D-1_S25-UMIs","WT-3D-2_S26-UMIs","WT-3D-3_S29-UMIs","WT-3D-4_S30-UMIs","WT-2D-4_S22-UMIs","WT-2D-3_S21-UMIs"
"hsa-let-7a-5p",650,425,1124,224,573,343,610,194,166,140,129,191,135
"hsa-let-7b-5p",337,317,671,209,465,204,438,236,287,260,234,205,170
"hsa-let-7c-5p",209,103,271,100,179,109,249,73,38,30,42,134,73
"hsa-let-7e-5p",24,50,133,24,114,87,82,69,25,3,14,25,11
"hsa-let-7f-5p",142,108,49,22,145,72,164,57,46,62,46,101,36
"hsa-let-7g-5p",83,93,46,36,87,41,79,40,34,47,18,50,25
"hsa-let-7i-5p",178,249,422,33,292,95,265,108,64,46,17,113,47
"hsa-miR-122-5p",32,16,31,31,37,7,11,24,131,50,60,14,42
"hsa-miR-1224-5p",19,51,24,42,40,46,148,23,3,1,29,51,19
"hsa-miR-1229-5p",7,16,20,10,23,31,168,1,1,1,30,28,15
"hsa-miR-1233-3p",1,158,31,1,1,1,99,28,40,1,1,66,54
"hsa-miR-1237-3p",10,31,18,19,30,99,66,14,9,4,30,38,18
"hsa-miR-1249-3p",4,52,37,26,41,85,95,40,40,6,35,81,35
"hsa-miR-1287-5p",10,47,43,51,52,25,108,13,2,7,14,29,16
"hsa-miR-138-2-3p",11,18,12,19,14,170,29,14,4,8,23,16,13
"hsa-miR-1469",14,64,49,50,32,22,142,49,12,7,24,61,18
"hsa-miR-151b/151a-5p",62,39,145,42,161,32,78,108,79,35,34,30,23
"hsa-miR-16-5p",143,84,122,88,216,63,47,161,274,234,159,57,54
"hsa-miR-191-5p",51,72,42,24,50,25,61,35,64,16,26,40,16
"hsa-miR-1915-3p",37,116,58,58,26,19,164,30,8,4,47,76,34
"hsa-miR-196a-5p",76,59,115,26,76,29,60,22,14,13,16,34,36
"hsa-miR-197-3p",24,56,31,35,43,162,83,16,29,25,47,41,19
"hsa-miR-221-3p",31,194,36,1,2,14,1,1,1,1,1,107,93
"hsa-miR-24-3p",27,398,66,1,17,1,29,15,12,1,7,177,88
"hsa-miR-2681-3p",1,1,1,6,1,191,16,1,1,1,1,1,1
"hsa-miR-26a-5p",63,61,40,13,44,18,37,56,58,24,8,51,33
"hsa-miR-302b-3p",7,17,40,45,56,20,144,20,1,2,48,27,18
"hsa-miR-30d-5p",5276,3563,339,1250,159,288,2298,196,243,31,251,3299,3370
"hsa-miR-3135b",3388,2229,3873,912,507,331,2189,298,205,36,226,1321,1315
"hsa-miR-3196",8,215,98,96,68,29,273,30,9,9,45,184,107
"hsa-miR-320a",43,232,120,42,62,81,91,47,72,36,45,188,98
"hsa-miR-320b",10,61,107,9,26,17,39,26,18,14,11,43,41
"hsa-miR-34a-5p",56,82,15,8,10,11,29,21,21,6,12,27,15
"hsa-miR-3613-3p",12,23,21,16,22,110,56,12,7,3,22,23,15
"hsa-miR-3652",30,63,42,49,30,41,133,19,6,3,25,55,37
"hsa-miR-382-5p",31,165,397,11,11,25,36,16,18,5,13,105,75
"hsa-miR-3960",15,157,161,105,53,102,280,51,23,6,88,110,48
"hsa-miR-423-5p",146,260,1383,112,118,51,201,87,85,103,85,194,139
"hsa-miR-4301",53,112,50,58,41,77,173,55,20,32,40,101,48
"hsa-miR-4322",31,313,1307,133,78,153,610,107,67,5,67,204,120
"hsa-miR-4466",33,40,35,54,32,14,114,16,2,12,15,59,41
"hsa-miR-4492",8,147,161,125,50,73,239,46,12,3,47,111,44
"hsa-miR-4508",23,123,81,55,28,69,173,44,1,2,44,66,23
"hsa-miR-4516",68,175,110,128,75,69,267,57,46,24,96,147,72
"hsa-miR-4532",83,216,50,75,34,47,264,35,19,8,43,159,82
"hsa-miR-4632-5p",13,50,31,53,31,38,93,42,12,4,66,36,22
"hsa-miR-4707-3p",31,88,76,69,43,17,206,14,8,1,23,93,61
"hsa-miR-4713-3p",15,48,22,35,43,34,106,10,1,36,4,38,20
"hsa-miR-4746-5p",213,762,70,94,34,72,456,34,37,2,35,425,328
"hsa-miR-4785",10,115,23,53,35,37,133,22,6,2,43,61,36
"hsa-miR-486-5p",95,81,75,145,127,53,254,102,224,192,129,113,83
"hsa-miR-5095",15,146,68,49,29,27,247,22,14,2,38,111,53
"hsa-miR-510-3p",37,1277,127,226,191,95,635,196,146,27,254,603,254
"hsa-miR-589-5p",44,165,135,92,281,120,203,241,203,65,149,115,55
