I.No	gene_symbol	gene_ensembl_id	mirna_name	mirna_db_id	interaction_score
1	NPIPB2	ENSG00000234719	hsa-miR-122-5p	MIMAT0000421	0.999999735985729
2	NPIPB5	ENSG00000243716	hsa-miR-122-5p	MIMAT0000421	0.999999648835127
3	NPIPB4	ENSG00000185864	hsa-miR-122-5p	MIMAT0000421	0.999999475846519
4	CPEB2	ENSG00000137449	hsa-miR-16-5p	MIMAT0000069	0.999998939923874
5	CCNE1	ENSG00000105173	hsa-miR-16-5p	MIMAT0000069	0.999998885281277
6	FGF2	ENSG00000138685	hsa-miR-16-5p	MIMAT0000069	0.999998087819187
7	PLAG1	ENSG00000181690	hsa-miR-16-5p	MIMAT0000069	0.999997693691067
8	SRSF3	ENSG00000112081	hsa-miR-486-5p	MIMAT0002177	0.999995278732083
9	FBXW7	ENSG00000109670	hsa-miR-16-5p	MIMAT0000069	0.999986127202647
10	KCNK10	ENSG00000100433	hsa-miR-16-5p	MIMAT0000069	0.999950939838631
11	MYB	ENSG00000118513	hsa-miR-16-5p	MIMAT0000069	0.999949717387959
12	WEE1	ENSG00000166483	hsa-miR-16-5p	MIMAT0000069	0.999941955956043
13	SALL1	ENSG00000103449	hsa-miR-16-5p	MIMAT0000069	0.99993070471889
14	ZBTB34	ENSG00000177125	hsa-miR-16-5p	MIMAT0000069	0.999930174999595
15	ASH1L	ENSG00000116539	hsa-miR-16-5p	MIMAT0000069	0.99992072466142
16	STK33	ENSG00000130413	hsa-miR-16-5p	MIMAT0000069	0.999898076446891
17	STOX2	ENSG00000173320	hsa-miR-16-5p	MIMAT0000069	0.999892859366993
18	RSPO3	ENSG00000146374	hsa-miR-16-5p	MIMAT0000069	0.999883883999402
19	USP25	ENSG00000155313	hsa-miR-16-5p	MIMAT0000069	0.99984454495517
20	OMG	ENSG00000126861	hsa-miR-16-5p	MIMAT0000069	0.999761697475289
21	SMURF1	ENSG00000198742	hsa-miR-16-5p	MIMAT0000069	0.999732137392943
22	MOB3B	ENSG00000120162	hsa-miR-16-5p	MIMAT0000069	0.999723191575264
23	C1orf21	ENSG00000116667	hsa-miR-16-5p	MIMAT0000069	0.999649092268693
24	PAPPA	ENSG00000182752	hsa-miR-16-5p	MIMAT0000069	0.999605146882994
25	GABRB3	ENSG00000166206	hsa-miR-486-5p	MIMAT0002177	0.999545746037877
26	SMAD7	ENSG00000101665	hsa-miR-16-5p	MIMAT0000069	0.999539946997847
27	LSM11	ENSG00000155858	hsa-miR-16-5p	MIMAT0000069	0.999497406496216
28	ARHGAP20	ENSG00000137727	hsa-miR-16-5p	MIMAT0000069	0.999435072545806
29	MED26	ENSG00000105085	hsa-miR-16-5p	MIMAT0000069	0.999434189435048
30	CFAP45	ENSG00000213085	hsa-miR-16-5p	MIMAT0000069	0.999390437758498
31	KDSR	ENSG00000119537	hsa-miR-16-5p	MIMAT0000069	0.999385728362352
32	RAB9B	ENSG00000123570	hsa-miR-16-5p	MIMAT0000069	0.999383199342653
33	ADGRB2	ENSG00000121753	hsa-miR-122-5p	MIMAT0000421	0.999375054805329
34	KIF21A	ENSG00000139116	hsa-miR-16-5p	MIMAT0000069	0.999312597610517
35	PRDM4	ENSG00000110851	hsa-miR-16-5p	MIMAT0000069	0.999253651726652
36	KIF23	ENSG00000137807	hsa-miR-16-5p	MIMAT0000069	0.999208812879889
37	SLC20A2	ENSG00000168575	hsa-miR-16-5p	MIMAT0000069	0.999183320936485
38	FOSL2	ENSG00000075426	hsa-miR-16-5p	MIMAT0000069	0.999179147581592
39	DCLK1	ENSG00000133083	hsa-miR-16-5p	MIMAT0000069	0.999176679728555
40	AC118553.2	ENSG00000283761	hsa-miR-16-5p	MIMAT0000069	0.999085677580024
