,Category,proteins_level,Fraction,affiliation
0,1A,1.0089499167289666,EV,"EV Transmembrane/anchored 
 proteins"
1,1A,0.9617307223283561,EV,"EV Transmembrane/anchored 
 proteins"
2,1A,1.0902692962671143,EV,"EV Transmembrane/anchored 
 proteins"
3,1A,1.0389987110708636,EV,"EV Transmembrane/anchored 
 proteins"
4,1A,0.9351961018746282,EV,"EV Transmembrane/anchored 
 proteins"
5,1A,0.8737215581364332,EV,"EV Transmembrane/anchored 
 proteins"
6,1A,1.072767013830457,EV,"EV Transmembrane/anchored 
 proteins"
7,1A,0.9790535569174411,EV,"EV Transmembrane/anchored 
 proteins"
8,1A,0.8761204491230745,EV,"EV Transmembrane/anchored 
 proteins"
9,1A,0.9304507850648881,EV,"EV Transmembrane/anchored 
 proteins"
10,1A,1.1558201023099062,EV,"EV Transmembrane/anchored 
 proteins"
11,1A,0.8737863056795194,EV,"EV Transmembrane/anchored 
 proteins"
12,1A,1.0586264572286506,EV,"EV Transmembrane/anchored 
 proteins"
13,1A,1.022209703091154,EV,"EV Transmembrane/anchored 
 proteins"
14,1A,0.8866250194135753,EV,"EV Transmembrane/anchored 
 proteins"
15,1A,0.9817699865587844,EV,"EV Transmembrane/anchored 
 proteins"
16,1B,0.9680400846213358,EV,"EV Transmembrane/anchored 
 proteins"
17,1B,1.1762141539680526,EV,"EV Transmembrane/anchored 
 proteins"
18,2A,1.031457203730324,EV,EV cytosolic proteins
19,2A,0.9233191236824864,EV,EV cytosolic proteins
20,2A,1.0899426776265582,EV,EV cytosolic proteins
21,2A,1.1569978242068804,EV,EV cytosolic proteins
22,2A,1.079818016950528,EV,EV cytosolic proteins
23,2A,0.9942888291343973,EV,EV cytosolic proteins
24,2A,0.9539497477394553,EV,EV cytosolic proteins
25,2A,0.8941642406276168,EV,EV cytosolic proteins
26,2A,0.9700231057579387,EV,EV cytosolic proteins
27,2A,1.0730295210990723,EV,EV cytosolic proteins
28,2A,1.086238244176543,EV,EV cytosolic proteins
29,2A,0.8952430503276124,EV,EV cytosolic proteins
30,2A,1.1645836461743053,EV,EV cytosolic proteins
31,2A,0.9792373062607486,EV,EV cytosolic proteins
32,2A,1.0722075782224814,EV,EV cytosolic proteins
33,2B,0.9067829786714533,EV,EV cytosolic proteins
34,2B,1.0583707583944841,EV,EV cytosolic proteins
35,2B,1.1706433414448254,EV,EV cytosolic proteins
36,2B,1.033925767274046,EV,EV cytosolic proteins
37,2B,1.1180506913594026,EV,EV cytosolic proteins
38,2B,1.1728598540101263,EV,EV cytosolic proteins
39,2B,0.893949899934061,EV,EV cytosolic proteins
