Gene Symbol,protein,FDR,FC
IGF1,IGF1,0.05255635823043311,-6.151356157026683
PTGFRN,PTGFRN,0.045696460200112005,-4.122643328523328
OGN,OGN,0.04597093893496546,-2.3845181341929162
LGALS7; LGALS7B,LGALS7; LGALS7B,0.30788514243980825,-2.155528525683142
EIF3D,EIF3D,0.29728569738655414,-2.12975502411026
CA9,CA9,0.15104616275335236,-2.0294361055401566
PCSK1,PCSK1,0.06693547957827066,-1.6654541260698963
TTYH3,TTYH3,0.2704497538864565,-1.4784104674714662
COL11A1,COL11A1,0.045696460200112005,-1.3361490697263356
STC1,STC1,0.4472785205507864,-1.3305200824371433
CAT,CAT,0.6496492581514931,-1.2360525713605242
MDK,MDK,0.17894085769188245,-1.2279795873941133
COL5A3,COL5A3,0.051229153130723556,-1.2187574684246343
TNFAIP6,TNFAIP6,0.16295614064115663,-1.2020802977830343
FMOD,FMOD,0.0338398300165137,-1.1641308112265811
EIF3L,EIF3L,0.17504614884452827,-1.163419716666425
COL7A1,COL7A1,0.08029478017822901,-1.15683498589177
S100A7,S100A7,0.6596536472763613,-1.1374443167996908
NACA,NACA,0.2574439002854859,-1.1338402138246018
NID2,NID2,0.22967467614431958,-1.1014909589405448
PGM1,PGM1,0.37061536612114354,-1.0764492672459625
COL5A1,COL5A1,0.03729750958804854,-1.0763200896101104
RCN2,RCN2,0.14493820391646672,-1.0643176510769976
UBE2R2,UBE2R2,0.05653509630869364,-1.035392844818631
KRT6B,KRT6B,0.6891336650660342,-1.0330497364478646
FGA,FGA,0.17352066934038046,-0.9947289085541975
SLC16A3,SLC16A3,0.17894085769188245,-0.9845381967773079
FGB,FGB,0.17023143881639013,-0.9638794336188532
COL5A2,COL5A2,0.025918734781774432,-0.9530765405482491
GPC6,GPC6,0.15919311112425114,-0.9501250013005773
RPN1,RPN1,0.5668421129306302,-0.9478402199795362
NES,NES,0.031105919605078042,-0.9436345777706663
TSPAN6,TSPAN6,0.07504374386080656,-0.9324355882100974
FBN2,FBN2,0.14493820391646672,-0.9012584608960488
PSMD2,PSMD2,0.14506949966186308,-0.8984744105286673
COL16A1,COL16A1,0.018709243262424978,-0.8972817538029751
AGRN,AGRN,0.04597093893496546,-0.8966063357827849
FGG,FGG,0.17023143881639013,-0.8859785575075456
TGFBI,TGFBI,0.0323855602910528,-0.8726893587406614
CAPRIN1,CAPRIN1,0.06167961349308626,-0.8589970614295694
PLSCR3,PLSCR3,0.031105919605078042,-0.8449527219062318
variant.AGRN,variant.AGRN,0.110645813238485,-0.8443567668766114
MGP,MGP,0.40710739637418436,-0.843886637688275
KAZALD1,KAZALD1,0.16295614064115663,-0.8325707307930301
GYS1,GYS1,0.3277218944820185,-0.8218390498541233
P3H1,P3H1,0.08052371135993096,-0.8076217167655777
TSKU,TSKU,0.15104616275335236,-0.7917527189460074
RUVBL1,RUVBL1,0.19383123726766094,-0.7890907916938339
CLEC11A,CLEC11A,0.04357567800044643,-0.787199656925889
variant.POSTN,variant.POSTN,0.03729750958804854,-0.7738015578011108
AKAP12,AKAP12,0.05653509630869364,-0.7733748764432313
WNT5A,WNT5A,0.08052371135993096,-0.7684287077165877
DSG1,DSG1,0.6713834394073563,-0.7599729442530823
SFRP2,SFRP2,0.13830248341821433,-0.7468710267947927
NRDC,NRDC,0.1979681096951567,-0.7309459898317634
COL14A1,COL14A1,0.04597093893496546,-0.7261019031475762
STAT1,STAT1,0.5417205887307347,-0.7174438675769608
POSTN,POSTN,0.05255635823043311,-0.7141388494811203
NPM3,NPM3,0.22516645143336578,-0.7133882033524337
GGT5,GGT5,0.03729750958804854,-0.7076711367512765
PLOD2,PLOD2,0.15919311112425114,-0.7050826899103235
PTMA,PTMA,0.030808502386167672,-0.6983696342262
REEP5,REEP5,0.1700536384899044,-0.6873913576201005
DSP,DSP,0.6713834394073563,-0.6855010382267324
SRSF2,SRSF2,0.05653509630869364,-0.6844225471424252
RANGAP1,RANGAP1,0.051229153130723556,-0.6791990436765047
NAP1L4,NAP1L4,0.17894085769188245,-0.6742846467440842
NNMT,NNMT,0.24979132835794923,-0.6677472191220204
ATP1A1,ATP1A1,0.31249053763190726,-0.6512088834766772
SSBP1,SSBP1,0.025956946468138096,-0.6501205265009453
variant.NID2,variant.NID2,0.08184350123704595,-0.6458644894454011
RPL10A,RPL10A,0.11966505657826813,-0.6447741352272018
TFRC,TFRC,0.34254031083299274,-0.6439706004293981
HNRNPC,HNRNPC,0.04597093893496546,-0.64062511646096
B2M,B2M,0.06562082633431654,-0.6395973964232944
CD63,CD63,0.1424985257420452,-0.6391820147034935
RPL12,RPL12,0.1406598085848468,-0.6384760344999982
ASPH,ASPH,0.025956946468138096,-0.6368672831683
CANX,CANX,0.04811812477095644,-0.626154494949688
PTMS,PTMS,0.0721988418066228,-0.6216475508865074
RPLP0,RPLP0,0.1969051584082925,-0.6187240243437273
NDNF,NDNF,0.04597093893496546,-0.6150421088782032
RACK1,RACK1,0.07641620497204524,-0.6129577541411457
C1QBP,C1QBP,0.2279628933620159,-0.6071068742195855
USO1,USO1,0.17504614884452827,-0.6042909891072199
ATP5F1B,ATP5F1B,0.05424333256831706,-0.6036279663118407
