,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,ClinVar_2019,osteogenesis imperfecta,4/10,2.3784967857682567e-08,2.140647107191431e-07,0,0,210.8677248677249,3701.616758607205,COL1A1;CRTAP;COL1A2;P3H1
1,ClinVar_2019,postmenopausal osteoporosis,2/6,0.00016439509275837475,0.0007397779174126863,0,0,153.3,1335.7393739315212,COL1A1;COL1A2
2,ClinVar_2019,intervertebral disc disorder,1/5,0.0166396661964726,0.0299020988111156,0,0,75.48863636363636,309.1988806923386,COL11A1
3,ClinVar_2019,stickler syndrome,1/5,0.0166396661964726,0.0299020988111156,0,0,75.48863636363636,309.1988806923386,COL11A1
4,ClinVar_2019,lissencephaly,1/6,0.0199347325407437,0.0299020988111156,0,0,60.38787878787879,236.43616149285907,LAMB1
5,ClinVar_2019,malformation of cortical development,1/6,0.0199347325407437,0.0299020988111156,0,0,60.38787878787879,236.43616149285907,LAMB1
9,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),15/176,1.8629902351648238e-17,1.7586627819955933e-14,0,0,35.42522694696608,1364.6422225592426,CRTAP;POSTN;COL16A1;COL14A1;COL11A1;NDNF;LAMC1;COL1A1;COL1A2;COL5A1;COL5A3;COL7A1;COL5A2;TGFBI;GAS6
10,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),12/109,1.7212706466221185e-15,6.064014809019272e-13,0,0,44.61705716963449,1516.7886984982113,COL1A1;POSTN;COL1A2;COL16A1;COL5A1;COL14A1;COL5A3;COL7A1;COL11A1;COL5A2;NDNF;TGFBI
11,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),12/110,1.9271233503239207e-15,6.064014809019272e-13,0,0,44.1595547309833,1496.247064562929,COL1A1;POSTN;COL1A2;COL16A1;COL5A1;COL14A1;COL5A3;COL7A1;COL11A1;COL5A2;NDNF;TGFBI
12,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),8/42,1.1100310609445873e-12,2.6196733038292256e-10,0,0,79.35792622133599,2184.456520112952,COL1A1;CRTAP;COL1A2;COL5A1;COL14A1;COL11A1;COL5A3;COL5A2
13,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),11/316,7.530131631191711e-09,1.3765824917043966e-06,0,0,12.640983606557375,236.44142361840352,COL1A1;CRTAP;COL1A2;COL5A1;COL14A1;COL5A3;COL11A1;COL5A2;EMILIN1;B2M;DBN1
14,GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),15/705,8.749464989646588e-09,1.3765824917043966e-06,0,0,8.044732441471572,149.2641642035496,NPM1;VCP;ANP32A;WNT5A;IGF1;FSTL1;HSP90B1;PTMS;HNRNPK;PLSCR3;RACK1;EMILIN1;CALR;GAS6;PTMA
15,GO_Biological_Process_2023,Skin Development (GO:0043588),6/68,1.0454020912428215e-07,1.4097993916188903e-05,0,0,31.524590163934427,506.7166177641084,COL1A1;COL1A2;COL5A1;COL5A3;WNT5A;COL5A2
16,GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),11/482,5.407657541371739e-07,6.381035898818651e-05,0,0,8.116545344252351,117.12401901753267,NPM1;HNRNPK;SET;WNT5A;NDNF;IGF1;GAS6;PTMA;FSTL1;HSP90B1;PTMS
17,GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),10/483,4.44419205885334e-06,0.0004578038137013792,0,0,7.217833166425578,88.95194416289416,NPM1;WNT5A;CLEC11A;HNRNPU;LAMB1;CALR;LAMC1;IGF1;GAS6;NES
18,GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),9/381,4.849616670565458e-06,0.0004578038137013792,0,0,8.15948275862069,99.84441560648747,NPM1;HNRNPK;WNT5A;IGF1;GAS6;PTMA;FSTL1;HSP90B1;PTMS
19,GO_Biological_Process_2023,Skeletal System Development (GO:0001501),6/149,1.0607277800308282e-05,0.0009102972948628196,0,0,13.612289349994269,155.9147566707463,COL1A1;COL1A2;WNT5A;OGN;P3H1;IGF1
20,GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),5/92,1.423099089911623e-05,0.0010892909831186,0,0,18.39636633296255,205.3050766076768,CAPRIN1;WNT5A;P3H1;NDNF;DBN1
21,GO_Biological_Process_2023,Negative Regulation Of Amide Metabolic Process (GO:0034249),5/93,1.5000829216676156e-05,0.0010892909831186,0,0,18.186400293255133,202.003714954717,CAPRIN1;NCL;RACK1;CALR;IGF1
22,GO_Biological_Process_2023,Eye Morphogenesis (GO:0048592),3/19,3.3506140611826125e-05,0.0022592711955402,0,0,58.3505859375,601.2317073910531,COL5A1;COL5A2;MFAP2
23,GO_Biological_Process_2023,Activation Of Protein Kinase B Activity (GO:0032148),3/25,7.839415188104293e-05,0.0049336052917136,0,0,42.42400568181818,401.0664199979474,WNT5A;IGF1;GAS6
24,GO_Biological_Process_2023,Ubiquitin-Dependent ERAD Pathway (GO:0030433),4/73,0.00010520766203848658,0.005814041687601,0,0,18.278352887048538,167.4219336764135,VCP;CANX;CALR;HSP90B1
25,GO_Biological_Process_2023,Regulation Of Basement Membrane Organization (GO:0110011),2/5,0.0001098341891953128,0.005814041687601,0,0,204.4102564102564,1863.514013312592,LAMB1;LAMC1
